estimate_id,paper_key,authors,year,study_label,effect_size_sd,se,ci_lower,ci_upper,n_treatment,n_control,n_total,learning_domain,outcome,outcome_timing,treatment,control,comparison_type,estimand,estimation_method,outcome_with_ai,is_subgroup,subgroup,coding_notes,design_class,included_in_curated_subset,notes,country,population_category,lab_vs_field,study_design,ai_tool,ai_design,incentives,venue,study_sample_n,study_sample_unit,study_sample_review_status,study_recruited_n,study_randomized_n,estimate_analyzed_n,estimate_sample_unit,estimate_sample_review_status,source_document,source_url,source_version,source_locator,extraction_date,review_date,provenance_review_status,provenance_review_basis,derivation_notes,study_sample_review_basis,study_sample_notes,study_sample_missing_reasons,estimate_sample_review_basis,estimate_sample_notes,estimate_sample_missing_reasons,provenance_missing_reasons,release_id,release_date,view_url,selection
contractor_reyes_2026__contractor_and_reyes_2026_session_one_test,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session one test",0.2921569989,0.1206987722,0.0555874054,0.5287265924,106,104,210,General knowledge,"Test score, Session 1 (immediate, no AI)",immediate,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),false,false,,,lab_rct,true,"September 2026 fixed extraction. September 2026 PDF, Table 4, p. 40, Test score (SD), Session One ITT column (2); control N=104, regression N=210. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=test_score1, sample=s1_student, spec=ols. Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N.",USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,students,reviewed,256,256,210,participants,reviewed,Contractor & Reyes (2026-09) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,September 2026; PDF SHA-256 51470a61115adc438decacf062d340ca1302190e73341c9e7b78a70e99d6908a; regression output SHA-256 381cc9363d0d58ba124ac532bfd3fa678c222ca66c93a1db0fac2631775e0bd8,"September 2026 PDF, Table 4, p. 40, Test score (SD), Session One ITT column (2); control N=104, regression N=210. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=test_score1, sample=s1_student, spec=ols.",2026-09-23,2026-09-23,reviewed,analysis_output,Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N. Pinned extraction: code/sources/contractor-reyes-2026-09.json.,primary_source,"September PDF Table 1, p. 37, 256 scheduled, 211 attended Session One, 205 attended both; Table 2, p. 38, assigned groups 130 AI-allowed and 126 AI-forbidden. This study count is attendance, not the analyzed N of every endpoint.",{},analysis_output,"Outcome-specific analyzed sample: 210 students, 106 assigned AI and 104 assigned control. The source table and matching regression row define this endpoint's sample.",{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
contractor_reyes_2026__contractor_and_reyes_2026_session_two_test,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session two test",0.2020470072,0.1156536671,-0.0246341803,0.4287281947,103,102,205,General knowledge,"Test score, Session 2 (1 week later, no AI)",delayed,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),false,false,,,lab_rct,true,"September 2026 fixed extraction. September 2026 PDF, Table 4, p. 40, Test score (SD), Session Two ITT column (5); control N=102, regression N=205. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=test_score2, sample=s2_student, spec=ols. Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N.",USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,students,reviewed,256,256,205,participants,reviewed,Contractor & Reyes (2026-09) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,September 2026; PDF SHA-256 51470a61115adc438decacf062d340ca1302190e73341c9e7b78a70e99d6908a; regression output SHA-256 381cc9363d0d58ba124ac532bfd3fa678c222ca66c93a1db0fac2631775e0bd8,"September 2026 PDF, Table 4, p. 40, Test score (SD), Session Two ITT column (5); control N=102, regression N=205. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=test_score2, sample=s2_student, spec=ols.",2026-09-23,2026-09-23,reviewed,analysis_output,Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N. Pinned extraction: code/sources/contractor-reyes-2026-09.json.,primary_source,"September PDF Table 1, p. 37, 256 scheduled, 211 attended Session One, 205 attended both; Table 2, p. 38, assigned groups 130 AI-allowed and 126 AI-forbidden. This study count is attendance, not the analyzed N of every endpoint.",{},analysis_output,"Outcome-specific analyzed sample: 205 students, 103 assigned AI and 102 assigned control. The source table and matching regression row define this endpoint's sample.",{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
contractor_reyes_2026__contractor_and_reyes_2026_session_one_essay,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session one essay",0.1947852192,0.1449083356,-0.0892351186,0.478805557,106,104,210,General knowledge,"Essay quality, Session 1 (written with AI access)",immediate,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),true,false,,,lab_rct,true,"September 2026 fixed extraction. September 2026 PDF, Table 5 Panel C, p. 41, Overall quality (average), Session One ITT column (2); control N=104, regression N=210. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=avg_score6_s1, sample=s1_student, spec=ols. Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N.",USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,students,reviewed,256,256,210,participants,reviewed,Contractor & Reyes (2026-09) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,September 2026; PDF SHA-256 51470a61115adc438decacf062d340ca1302190e73341c9e7b78a70e99d6908a; regression output SHA-256 381cc9363d0d58ba124ac532bfd3fa678c222ca66c93a1db0fac2631775e0bd8,"September 2026 PDF, Table 5 Panel C, p. 41, Overall quality (average), Session One ITT column (2); control N=104, regression N=210. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=avg_score6_s1, sample=s1_student, spec=ols.",2026-09-23,2026-09-23,reviewed,analysis_output,Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N. Pinned extraction: code/sources/contractor-reyes-2026-09.json.,primary_source,"September PDF Table 1, p. 37, 256 scheduled, 211 attended Session One, 205 attended both; Table 2, p. 38, assigned groups 130 AI-allowed and 126 AI-forbidden. This study count is attendance, not the analyzed N of every endpoint.",{},analysis_output,"Outcome-specific analyzed sample: 210 students, 106 assigned AI and 104 assigned control. The source table and matching regression row define this endpoint's sample.",{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
contractor_reyes_2026__contractor_and_reyes_2026_session_two_essay,contractor_reyes_2026,Zara Contractor and Germán Reyes,2026,"Contractor and Reyes (2026), Session two essay",0.2040974536,0.1315390435,-0.0537190715,0.4619139788,101,97,198,General knowledge,"Essay quality, Session 2 (1 week later, no AI)",delayed,AI allowed while learning a new topic,No AI allowed,ai_vs_bau,ITT,OLS (double-lasso controls),false,false,,,lab_rct,true,"September 2026 fixed extraction. September 2026 PDF, Table 5 Panel C, p. 41, Overall quality (average), Session Two ITT column (5); control N=97, regression N=198. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=avg_score6_s2, sample=s2_student, spec=ols. Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N.",USA,Undergraduate,Lab,RCT,ChatGPT,Unrestricted,"$50 for completing both sessions + lottery tickets ($100 each, 30 drawn) tied to test correctness and essay quality",IZA WP #18055,211,students,reviewed,256,256,198,participants,reviewed,Contractor & Reyes (2026-09) - AI Learning RCT.pdf,https://www.germanr.com/ai-learning,September 2026; PDF SHA-256 51470a61115adc438decacf062d340ca1302190e73341c9e7b78a70e99d6908a; regression output SHA-256 381cc9363d0d58ba124ac532bfd3fa678c222ca66c93a1db0fac2631775e0bd8,"September 2026 PDF, Table 5 Panel C, p. 41, Overall quality (average), Session Two ITT column (5); control N=97, regression N=198. Full-precision coefficient, robust SE and control SD: regression_results_main.dta, outcome=avg_score6_s2, sample=s2_student, spec=ols.",2026-09-23,2026-09-23,reviewed,analysis_output,Stata 18 read the nine OLS rows without modifying the research dataset. effect_size_sd=beta/sd_ctrl; se=robust_se/sd_ctrl; CI=effect_size_sd +/- 1.96*se. The control SD is treated as fixed. Each raw coefficient and SE matches the September PDF at its reported three-decimal precision. Control count comes from the relevant PDF table; treatment count is regression N minus control N. Pinned extraction: code/sources/contractor-reyes-2026-09.json.,primary_source,"September PDF Table 1, p. 37, 256 scheduled, 211 attended Session One, 205 attended both; Table 2, p. 38, assigned groups 130 AI-allowed and 126 AI-forbidden. This study count is attendance, not the analyzed N of every endpoint.",{},analysis_output,"Outcome-specific analyzed sample: 198 students, 101 assigned AI and 97 assigned control. The source table and matching regression row define this endpoint's sample.",{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
barcaui_2025__est0,barcaui_2025,Andre Barcaui,2025,"Barcaui, Knowledge retention test (20-item MCQ, 4",-0.68,,-1.12,-0.24,43,42,85,General knowledge,"Knowledge retention test (20-item MCQ, 45 days post-intervention)",delayed,ChatGPT (AI-Assisted Group),Traditional learning (no AI),ai_vs_bau,ATE (complete-case),t-test (mean comparison),false,false,,,field_rct,false,Negative = AI group learned less. 85 of 120 completed retention test. AI group spent 45% less time studying.,Brazil,Undergraduate,Field,RCT,ChatGPT (GPT-4),Unrestricted,None (voluntary participation),Social Sciences & Humanities Open,120,unknown,unreviewed,,,,unknown,unreviewed,Barcaui (2025) - ChatGPT as Cognitive Crutch.pdf,,,,,,unreviewed,,Negative = AI group learned less. 85 of 120 completed retention test. AI group spent 45% less time studying.,,,{},,,{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est1,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., Normalized grade on assisted practice pr",0.48,0.108,0.26832,0.69168,242,320,2848,Math,Normalized grade on assisted practice problems (0-1 scale),immediate,GPT Base (unrestricted ChatGPT-style GPT-4 interface),No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,true,false,,,field_rct,false,"Classroom-level randomization. Regression with session/grader/grade/teacher FEs. Clustered SE at classroom level. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"Classroom-level randomization. Regression with session/grader/grade/teacher FEs. Clustered SE at classroom level. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est2,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., Normalized grade on assisted practice pr",1.26,0.112,1.04048,1.47952,277,320,2848,Math,Normalized grade on assisted practice problems (0-1 scale),immediate,"GPT Tutor (GPT-4 with guardrails: Socratic hints, teacher-designed prompts)",No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,true,false,,,field_rct,false,"Prompt includes correct solutions, common mistakes, instructions not to give away answers. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"Prompt includes correct solutions, common mistakes, instructions not to give away answers. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est3,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., GPT Base",-0.19,0.079,-0.34484000000000004,-0.03516,242,320,2848,Math,Normalized grade on unassisted exam (0-1 scale),immediate,GPT Base (unrestricted ChatGPT-style GPT-4 interface),No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,false,false,,,field_rct,true,"KEY: Unrestricted GPT-4 during practice => 17% worse on unassisted exam. Measures learning transfer without AI. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"KEY: Unrestricted GPT-4 during practice => 17% worse on unassisted exam. Measures learning transfer without AI. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
bastani_etal_2025__est4,bastani_etal_2025,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",2025,"Bastani et al., GPT Tutor",-0.01,0.047,-0.10211999999999999,0.08212,277,320,2848,Math,Normalized grade on unassisted exam (0-1 scale),immediate,GPT Tutor (GPT-4 with guardrails),No AI access (textbooks and notes only),ai_vs_bau,ITT,OLS with prior GPA and session/grader/grade-level/teacher FE; SE clustered at classroom level,false,false,,,field_rct,true,"Guardrails mitigate negative learning effect. Point estimate near zero, not significant. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",Turkey,High school,Field,RCT,GPT-4 (custom ChatGPT-like interface),Unrestricted,Course grade,"PNAS, 122(26), e2422633122",839,unknown,unreviewed,,,,unknown,unreviewed,Bastani et al (2025) - Generative AI Without Guardrails Can Harm Learning.pdf,,,,,,unreviewed,,"Guardrails mitigate negative learning effect. Point estimate near zero, not significant. n_total=2,848 is the regression OBSERVATION count (multiple sessions/exams per student); n_treat/n_ctrl are STUDENT counts, so they do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
de_simone_etal_2025__est5,de_simone_etal_2025,"Martín De Simone, Federico Tiberti, Maria Barron Rodriguez, Federico Manolio, Wuraola Mosuro, Eliot Dikoru",2025,"De Simone et al., Total score (weighted) on final assessme",0.31,0.068,0.17672,0.44328,,,654,Language,Total score (weighted) on final assessment,immediate,AI tutoring sessions (Microsoft Copilot/GPT-4),Business-as-usual classroom instruction,ai_vs_bau,ITT,"ANCOVA (OLS, baseline control + school FE)",false,false,,,field_rct,false,"ITT. 6-week intervention, 12 sessions of 90 min. School FE and baseline controls. Regression N=654 (Table 2); 759 completers.",Nigeria,High school,Field,RCT,Microsoft Copilot (GPT-4),tutoring,None (voluntary; ungraded research assessment),Working paper,759,unknown,unreviewed,,,,unknown,unreviewed,De Simone et al (2025) - From Chalkboards to Chatbots.pdf,,,,,,unreviewed,,"ITT. 6-week intervention, 12 sessions of 90 min. School FE and baseline controls. Regression N=654 (Table 2); 759 completers.",,,{},,,{},{},2026-09-24.1,2026-09-24,,"{""scope"":""full"",""dataset"":""learning""}"
